,device,subject,browser,batterystats_Joule_calculated,headerSize,workerTime,fetchTime,timeToFirstByte,downloadTime,totalTime,totalLoadTime,dnsLookupTime,fcp,fp,timestamp
28,nexus5x,http-192-168-100-103-9191-local_websites-www-zillow-com,chrome,39.10032,337,0,47.5,15.5,18.4,33.9,2156,0,1134.5,1134.5,2020.10.11_192407
13,nexus5x,http-192-168-100-103-9191-local_websites-www-zillow-com,chrome,32.110668,337,0,66.8,37.8,14.6,52.4,2097,0,1180.5,1180.5,2020.10.15_020636
13,nexus5x,http-192-168-100-103-9191-local_websites-www-zillow-com,chrome,31.78566,337,0,84.2,14.1,24.2,38.3,2833,0,1373.7,1373.7,2020.10.15_032742
13,nexus5x,http-192-168-100-103-9191-local_websites-www-zillow-com,chrome,42.340608,337,0,27.5,4.4,2.8,7.2,2638,0,1379.4,1379.4,2020.10.15_044814
13,nexus5x,http-192-168-100-103-9191-local_websites-www-zillow-com,chrome,33.887664,337,0,57.1,30.7,7.7,38.4,2259,0,1147,1147,2020.10.15_060851
13,nexus5x,http-192-168-100-103-9191-local_websites-www-zillow-com,chrome,34.011576,337,0,82.9,37.2,27.8,65,2898,0,1407.3,1407.3,2020.10.15_072920
13,nexus5x,http-192-168-100-103-9191-local_websites-www-zillow-com,chrome,42.969348,337,0,110.1,10.6,3.1,13.7,2276,0,1069.4,1069.4,2020.10.15_084950
13,nexus5x,http-192-168-100-103-9191-local_websites-www-zillow-com,chrome,31.917024,337,0,38.1,8.7,3.6,12.3,2116,0,913.9,913.9,2020.10.17_174337
13,nexus5x,http-192-168-100-103-9191-local_websites-www-zillow-com,chrome,39.896064,337,0,58.4,25.6,6.9,32.5,2169,0,952.1,952.1,2020.10.17_190421
13,nexus5x,http-192-168-100-103-9191-local_websites-www-zillow-com,chrome,40.844412,337,0,50.6,9.9,17,26.9,2365,0,1263.7,1263.7,2020.10.17_202505
13,nexus5x,http-192-168-100-103-9191-local_websites-www-zillow-com,chrome,37.677636,337,0,59.4,25.1,13,38.1,2092,0,1044.8,1044.8,2020.10.17_214543
2,nexus5x,http-192-168-100-103-9191-local_websites-www-wp-me,chrome,61.712856,334,0,88.7,13.7,49,62.7,1008,0,1172.7,1172.7,2020.10.11_192407
3,nexus5x,http-192-168-100-103-9191-local_websites-www-wp-me,chrome,40.33224,334,0,94,3.2,51.8,55,1070,0,1454.9,1454.9,2020.10.15_020636
3,nexus5x,http-192-168-100-103-9191-local_websites-www-wp-me,chrome,50.702004,334,0,124.9,2.9,64.9,67.8,1130,0,1437.3,1437.3,2020.10.15_032742
3,nexus5x,http-192-168-100-103-9191-local_websites-www-wp-me,chrome,50.279472,334,0,95.8,38.2,36.3,74.5,1086,0,1434.5,1434.5,2020.10.15_044814
3,nexus5x,http-192-168-100-103-9191-local_websites-www-wp-me,chrome,47.722536,334,0,140.4,7.8,38.9,46.7,1013,0,1533.4,1533.4,2020.10.15_060851
3,nexus5x,http-192-168-100-103-9191-local_websites-www-wp-me,chrome,37.894176,334,0,57.6,3.5,40.7,44.2,1160,0,1467.2,1467.2,2020.10.15_072920
3,nexus5x,http-192-168-100-103-9191-local_websites-www-wp-me,chrome,60.49836,334,0,102.8,7.2,70.3,77.5,1016,0,1342.1,1342.1,2020.10.15_084950
3,nexus5x,http-192-168-100-103-9191-local_websites-www-wp-me,chrome,46.821672,334,0,93.1,3.2,48,51.2,1016,0,1583.2,1583.2,2020.10.17_174337
3,nexus5x,http-192-168-100-103-9191-local_websites-www-wp-me,chrome,50.181768,334,0,167.2,21.1,96.1,117.2,1228,0,1511,1511,2020.10.17_190421
3,nexus5x,http-192-168-100-103-9191-local_websites-www-wp-me,chrome,50.233932,334,0,82.1,8.2,41.4,49.6,964,0,1403.8,1403.8,2020.10.17_202505
3,nexus5x,http-192-168-100-103-9191-local_websites-www-wp-me,chrome,52.097472,334,0,77,3.6,44.6,48.2,977,0,1317.7,1317.7,2020.10.17_214543
27,nexus5x,http-192-168-100-103-9191-local_websites-www-wordpress-com,chrome,61.712856,342,0,112.6,3.5,58.4,61.9,1172,0,1235.6,1235.6,2020.10.11_192407
29,nexus5x,http-192-168-100-103-9191-local_websites-www-wordpress-com,chrome,51.035796,342,0,104.6,49,18.5,67.5,1121,0,1629.3,1629.3,2020.10.15_020636
29,nexus5x,http-192-168-100-103-9191-local_websites-www-wordpress-com,chrome,40.158468,342,0,82.5,3.7,45.8,49.5,1127,0,1518.5,1518.5,2020.10.15_032742
29,nexus5x,http-192-168-100-103-9191-local_websites-www-wordpress-com,chrome,38.12508,188,0,362.3,4.2,73.1,77.3,1068,0,1519.8,1519.8,2020.10.15_044814
29,nexus5x,http-192-168-100-103-9191-local_websites-www-wordpress-com,chrome,57.982104,342,0,107.1,5.6,48.8,54.4,1005,0,1529.9,1529.9,2020.10.15_060851
29,nexus5x,http-192-168-100-103-9191-local_websites-www-wordpress-com,chrome,51.095016,342,0,86.3,5.7,53.7,59.4,1152,0,1475.5,1475.5,2020.10.15_072920
