"","subject","totalLoadTimeAvg","fcpAvg","fpAvg","totalLoadTimeNormalized","fcpNormalized","fpNormalized","loadMean","batteryStatsAvg","performanceLvl","website"
"fetchTime23","http-192-168-100-103-9191-local_websites-www-techcrunch-com",213.454545454545,1097.87272727273,1097.87272727273,0,0.00203294098796266,0.00203294098796266,0.0013552939919751,38.3742589090909,"low","www.oliveogrill.com"
"fetchTime4","http-192-168-100-103-9191-local_websites-www-automattic-com",832.272727272727,1092.33636363636,1092.33636363636,0.0780046754675467,0,0,0.0260015584891822,37.0973650909091,"low","www.w3.org"
"fetchTime25","http-192-168-100-103-9191-local_websites-www-w3-org",1264.63636363636,1131.61818181818,1131.61818181818,0.132505958929226,0.0144242003431631,0.0144242003431631,0.0537847865385175,45.5113341818182,"low","www.aaplimg.com"
"fetchTime24","http-192-168-100-103-9191-local_websites-www-theverge-com",877.545454545455,1329.12727272727,1124.98181818182,0.0837114961496149,0.0869491197265377,0.0119873416876415,0.0608826525212647,42.6057087272727,"low","www.techcrunch.com"
"fetchTime26","http-192-168-100-103-9191-local_websites-www-w3schools-com",1746.63636363636,1140.52727272727,1140.52727272727,0.193264118078474,0.0176955996341374,0.0176955996341374,0.0762184391155831,50.5140872727273,"low","www.afternic.com"
"fetchTime11","http-192-168-100-103-9191-local_websites-www-g-page",1935,1146.51818181818,1146.51818181818,0.217008159149248,0.0198954487491905,0.0198954487491905,0.0855996855492098,37.398456,"low","www.gotowebinar.com"
"fetchTime29","http-192-168-100-103-9191-local_websites-www-zillow-com",2354.45454545455,1169.66363636364,1169.66363636364,0.269882196552989,0.0283944105806401,0.0283944105806401,0.10889033923809,36.9582709090909,"low","www.idntimes.com"
"fetchTime28","http-192-168-100-103-9191-local_websites-www-wp-me",1060.72727272727,1423.43636363636,1423.43636363636,0.106802346901357,0.12157921793528,0.12157921793528,0.116653594257305,49.8614989090909,"low","www.bitly.com"
"fetchTime5","http-192-168-100-103-9191-local_websites-www-bankofamerica-com",1353.18181818182,1413.60909090909,1413.60909090909,0.143667491749175,0.117970664227583,0.117970664227583,0.126536273401447,42.0217232727273,"low","www.w3schools.com"
"fetchTime1","http-192-168-100-103-9191-local_websites-www-afternic-com",1128.09090909091,1490.71818181818,1490.71818181818,0.115293821048772,0.146284958907219,0.146284958907219,0.13595457962107,45.1462058181818,"low","www.archive.org"
"fetchTime27","http-192-168-100-103-9191-local_websites-www-wordpress-com",1131.81818181818,1511.85454545455,1511.85454545455,0.115763659699303,0.154046186816928,0.154046186816928,0.141285344444387,48.2816683636364,"average","www.scoverage.org"
"fetchTime22","http-192-168-100-103-9191-local_websites-www-scoverage-org",946.818181818182,1565.08181818182,1565.08181818182,0.0924436193619362,0.173591128499229,0.173591128499229,0.146541958786798,36.6895865454545,"average","www.patreon.com"
"fetchTime8","http-192-168-100-103-9191-local_websites-www-elsevier-com",1603.18181818182,1487.67272727273,1487.67272727273,0.175181059772644,0.145166674455713,0.145166674455713,0.155171469561356,38.7402447272727,"average","www.elsevier.com"
"fetchTime17","http-192-168-100-103-9191-local_websites-www-meetup-com",2323.18181818182,1394.77272727273,1394.77272727273,0.265940135680235,0.111053991440951,0.111053991440951,0.162682706187379,44.8560261818182,"average","www.wp.me"
"fetchTime6","http-192-168-100-103-9191-local_websites-www-bitly-com",2177.09090909091,1454,1454,0.247524752475247,0.132802120400847,0.132802120400847,0.17104299775898,49.2237032727273,"average","www.foursquare.com"
"fetchTime20","http-192-168-100-103-9191-local_websites-www-reverso-net",3005.27272727273,1359.39090909091,1359.39090909091,0.351920608727539,0.0980618628282249,0.0980618628282249,0.182681444794663,46.7105923636364,"average","www.herokuapp.com"
"fetchTime12","http-192-168-100-103-9191-local_websites-www-github-com",1304.09090909091,1676.80909090909,1676.80909090909,0.137479372937294,0.21461714613808,0.21461714613808,0.188904555071151,39.2702465454545,"average","www.zillow.com"
"fetchTime15","http-192-168-100-103-9191-local_websites-www-herokuapp-com",3148.90909090909,1378.88181818182,1378.88181818182,0.370026585991932,0.105218883317867,0.105218883317867,0.193488117542555,44.3729814545455,"average","www.github.com"
"fetchTime18","http-192-168-100-103-9191-local_websites-www-oliveogrill-com",2379.72727272727,1521.4,1521.4,0.273067931793179,0.15755125748583,0.15755125748583,0.196056815588279,39.7189047272727,"average","www.automattic.com"
"fetchTime19","http-192-168-100-103-9191-local_websites-www-patreon-com",4764.45454545455,1139.81818181818,1139.81818181818,0.57367299229923,0.0174352229558762,0.0174352229558762,0.202847812736994,44.4146498181818,"average","www.wordpress.com"
"fetchTime10","http-192-168-100-103-9191-local_websites-www-foursquare-com",2621.81818181818,1642.74545454545,1642.74545454545,0.303584525119179,0.202109051093916,0.202109051093916,0.235934209102337,39.7949956363636,"high","www.fandom.com"
"fetchTime16","http-192-168-100-103-9191-local_websites-www-idntimes-com",5070.54545454545,1316.54545454545,1316.54545454545,0.612257059039237,0.082329102768672,0.082329102768672,0.25897175485886,49.4949272727273,"high","www.ria.ru"
"fetchTime2","http-192-168-100-103-9191-local_websites-www-aliyun-com",5135.09090909091,1356.20909090909,1356.20909090909,0.620393289328933,0.0968935059385912,0.0968935059385912,0.271393433735372,42.1158534545455,"high","www.reverso.net"
"fetchTime9","http-192-168-100-103-9191-local_websites-www-fandom-com",3845.63636363636,1642.00909090909,1642.00909090909,0.45785203520352,0.201838659928029,0.201838659928029,0.287176451686526,41.0292589090909,"high","www.hao123.com"
"fetchTime","http-192-168-100-103-9191-local_websites-www-aaplimg-com",1532.36363636364,2262.72727272727,2262.72727272727,0.166254125412541,0.429765060120307,0.429765060120307,0.341928081884385,36.3722661818182,"high","www.meetup.com"
"fetchTime13","http-192-168-100-103-9191-local_websites-www-gotowebinar-com",6628.81818181818,1686.7,1686.7,0.80868399339934,0.21824906698357,0.21824906698357,0.41506070912216,40.7884647272727,"high","www.bankofamerica.com"
"fetchTime14","http-192-168-100-103-9191-local_websites-www-hao123-com",6796.09090909091,1962.85454545455,1962.85454545455,0.829769435276861,0.319652430516147,0.319652430516147,0.489691432103051,52.0601367272727,"high","www.theverge.com"
"fetchTime7","http-192-168-100-103-9191-local_websites-www-dailymail-co-uk",4852.54545454545,2300.85454545455,2300.85454545455,0.584777227722772,0.443765313820661,0.443765313820661,0.490769285121365,58.1183050909091,"high","www.aliyun.com"
"fetchTime21","http-192-168-100-103-9191-local_websites-www-ria-ru",8146.54545454545,2108.58181818182,1628.18181818182,1,0.373163176061369,0.196761314701936,0.523308163587768,45.2619818181818,"high","www.g.page"
"fetchTime3","http-192-168-100-103-9191-local_websites-www-archive-org",5307,3815.66363636364,3815.66363636364,0.642063164649798,1,1,0.880687721549933,37.0941349090909,"high","www.dailymail.co"
