device,subject,browser,batterystats_Joule_calculated
nexus5x,http-192-168-100-103-9191-local_websites-www-idntimes-com,chrome,38.116223999999995
nexus5x,http-192-168-100-103-9191-local_websites-www-github-com,chrome,39.355776
nexus5x,http-192-168-100-103-9191-local_websites-www-w3schools-com,chrome,38.271168
nexus5x,http-192-168-100-103-9191-local_websites-www-wp-me,chrome,51.90624
nexus5x,http-192-168-100-103-9191-local_websites-www-oliveogrill-com,chrome,30.988799999999998
nexus5x,http-192-168-100-103-9191-local_websites-www-bankofamerica-com,chrome,38.890944
nexus5x,http-192-168-100-103-9191-local_websites-www-aliyun-com,chrome,35.947008
nexus5x,http-192-168-100-103-9191-local_websites-www-foursquare-com,chrome,41.989824
nexus5x,http-192-168-100-103-9191-local_websites-www-theverge-com,chrome,36.876672
nexus5x,http-192-168-100-103-9191-local_websites-www-elsevier-com,chrome,37.96128000000001
nexus5x,http-192-168-100-103-9191-local_websites-www-scoverage-org,chrome,34.242624
nexus5x,http-192-168-100-103-9191-local_websites-www-techcrunch-com,chrome,31.298688
nexus5x,http-192-168-100-103-9191-local_websites-www-archive-org,chrome,54.695232
nexus5x,http-192-168-100-103-9191-local_websites-www-zillow-com,chrome,47.87769599999999
nexus5x,http-192-168-100-103-9191-local_websites-www-afternic-com,chrome,41.524992000000005
nexus5x,http-192-168-100-103-9191-local_websites-www-w3-org,chrome,35.947008
nexus5x,http-192-168-100-103-9191-local_websites-www-patreon-com,chrome,52.015103999999994
nexus5x,http-192-168-100-103-9191-local_websites-www-meetup-com,chrome,39.97555199999999
nexus5x,http-192-168-100-103-9191-local_websites-www-gotowebinar-com,chrome,39.665664
nexus5x,http-192-168-100-103-9191-local_websites-www-dailymail-co-uk,chrome,59.963328000000004
nexus5x,http-192-168-100-103-9191-local_websites-www-herokuapp-com,chrome,45.08870400000001
nexus5x,http-192-168-100-103-9191-local_websites-www-g-page,chrome,37.03161600000001
nexus5x,http-192-168-100-103-9191-local_websites-www-ria-ru,chrome,39.200832
nexus5x,http-192-168-100-103-9191-local_websites-www-automattic-com,chrome,34.8624
nexus5x,http-192-168-100-103-9191-local_websites-www-reverso-net,chrome,41.370048000000004
nexus5x,http-192-168-100-103-9191-local_websites-www-hao123-com,chrome,40.750271999999995
nexus5x,http-192-168-100-103-9191-local_websites-www-bitly-com,chrome,34.242624
nexus5x,http-192-168-100-103-9191-local_websites-www-fandom-com,chrome,43.38432
nexus5x,http-192-168-100-103-9191-local_websites-www-aaplimg-com,chrome,38.271168
nexus5x,http-192-168-100-103-9191-local_websites-www-wordpress-com,chrome,48.497472
