,device,subject,browser,batterystats_Joule_calculated,headerSize,workerTime,fetchTime,timeToFirstByte,downloadTime,totalTime,totalLoadTime,dnsLookupTime,fcp,fp
0,nexus5x,http-192-168-100-103-9191-local_websites-www-idntimes-com,chrome,57.968676,-18446744073709552000,0,-313.7,129.1,-474.2,-345.1,8098,0,1915.2,1915.2
1,nexus5x,http-192-168-100-103-9191-local_websites-www-github-com,chrome,43.359947999999996,-18446744073709552000,0,-377.4,129.3,-546.6,-417.3,11343,0,2374.9,2374.9
2,nexus5x,http-192-168-100-103-9191-local_websites-www-w3schools-com,chrome,37.29888,391,0,483.3,131.2,314.6,445.8,3409,0,1692.7,1692.7
3,nexus5x,http-192-168-100-103-9191-local_websites-www-wp-me,chrome,39.00841199999999,-18446744073709552000,0,-310.5,130.0,-481.6,-351.6,3895,0,1849.9,1849.9
4,nexus5x,http-192-168-100-103-9191-local_websites-www-oliveogrill-com,chrome,33.879816000000005,392,0,197.7,144.5,21.1,165.6,3371,0,2321.7,2321.7
5,nexus5x,http-192-168-100-103-9191-local_websites-www-bankofamerica-com,chrome,39.31923599999999,-18446744073709552000,0,-301.1,133.0,-474.6,-341.6,3637,0,2326.9,2326.9
6,nexus5x,http-192-168-100-103-9191-local_websites-www-aliyun-com,chrome,42.7383,-18446744073709552000,0,-347.3,128.9,-502.6,-373.7,9828,0,2298.4,2298.4
7,nexus5x,http-192-168-100-103-9191-local_websites-www-foursquare-com,chrome,33.258168000000005,392,0,491.6,130.1,288.4,418.5,9040,0,2092.6,2092.6
8,nexus5x,http-192-168-100-103-9191-local_websites-www-theverge-com,chrome,45.691128000000006,-18446744073709552000,0,-267.7,143.9,-433.7,-289.8,13424,0,4762.7,4762.7
9,nexus5x,http-192-168-100-103-9191-local_websites-www-elsevier-com,chrome,38.231352,390,0,497.4,150.6,322.3,472.9,4129,0,2160.3,2160.3
10,nexus5x,http-192-168-100-103-9191-local_websites-www-scoverage-org,chrome,30.616164,390,0,229.7,160.8,2.9,163.7,1462,0,2474.4,2474.4
11,nexus5x,http-192-168-100-103-9191-local_websites-www-techcrunch-com,chrome,36.055584,392,0,284.0,128.8,107.0,235.8,731,0,1453.7,1453.7
12,nexus5x,http-192-168-100-103-9191-local_websites-www-archive-org,chrome,38.853,-18446744073709552000,0,-278.7,131.0,-436.2,-305.2,5437,0,3535.4,3535.4
13,nexus5x,http-192-168-100-103-9191-local_websites-www-zillow-com,chrome,35.74475999999999,387,0,173.6,129.2,21.0,150.2,4216,0,1553.4,1553.4
14,nexus5x,http-192-168-100-103-9191-local_websites-www-afternic-com,chrome,37.45429200000001,390,0,419.4,130.4,174.7,305.1,3307,0,3091.5,3091.5
15,nexus5x,http-192-168-100-103-9191-local_websites-www-w3-org,chrome,33.10275599999999,384,0,368.1,131.5,146.2,277.7,1705,0,1279.3,1279.3
16,nexus5x,http-192-168-100-103-9191-local_websites-www-patreon-com,chrome,54.05184000000001,-18446744073709552000,0,-377.5,134.5,-559.6,-425.1,21262,0,1716.9,1716.9
17,nexus5x,http-192-168-100-103-9191-local_websites-www-meetup-com,chrome,35.27852400000001,-18446744073709552000,0,-249.7,131.3,-425.9,-294.6,7938,0,893.8,893.8
18,nexus5x,http-192-168-100-103-9191-local_websites-www-gotowebinar-com,chrome,34.9677,393,0,482.2,130.7,319.8,450.5,8329,0,2561.9,2561.9
19,nexus5x,http-192-168-100-103-9191-local_websites-www-dailymail-co-uk,chrome,53.772552000000005,-18446744073709552000,0,-326.3,229.1,-680.6,-451.5,13153,0,10407.7,10407.7
20,nexus5x,http-192-168-100-103-9191-local_websites-www-herokuapp-com,chrome,53.306316,-18446744073709552000,0,-425.4,128.6,-616.2,-487.6,7111,0,2698.3,2698.3
21,nexus5x,http-192-168-100-103-9191-local_websites-www-g-page,chrome,34.19064,-18446744073709552000,0,-314.7,141.3,-471.3,-330.0,4726,0,2782.5,2782.5
22,nexus5x,http-192-168-100-103-9191-local_websites-www-ria-ru,chrome,51.13054800000001,-18446744073709552000,0,-289.3,129.7,-576.8,-447.1,12406,0,2939.0,2510.2
23,nexus5x,http-192-168-100-103-9191-local_websites-www-automattic-com,chrome,34.656876000000004,392,0,518.9,128.9,151.4,280.3,1545,0,1868.8,1868.8
24,nexus5x,http-192-168-100-103-9191-local_websites-www-reverso-net,chrome,39.785472,389,0,331.2,134.5,171.9,306.4,5662,0,2187.1,2187.1
25,nexus5x,http-192-168-100-103-9191-local_websites-www-hao123-com,chrome,40.562532,-18446744073709552000,0,-345.9,129.8,-584.8,-455.0,9408,0,1643.8,1643.8
26,nexus5x,http-192-168-100-103-9191-local_websites-www-bitly-com,chrome,39.16382400000001,387,0,398.7,131.3,212.2,343.5,3911,0,2179.2,2179.2
27,nexus5x,http-192-168-100-103-9191-local_websites-www-fandom-com,chrome,45.380304,-18446744073709552000,0,-307.5,133.6,-463.5,-329.9,8667,0,2704.6,2704.6
28,nexus5x,http-192-168-100-103-9191-local_websites-www-aaplimg-com,chrome,34.035228000000004,389,0,460.6,133.4,251.0,384.4,3092,0,3264.6,3264.6
29,nexus5x,http-192-168-100-103-9191-local_websites-www-wordpress-com,chrome,57.657852,-18446744073709552000,0,-285.1,147.5,-492.3,-344.8,1533,0,1835.1,1835.1
