,device,subject,browser,batterystats_Joule_calculated,headerSize,workerTime,fetchTime,timeToFirstByte,downloadTime,totalTime,totalLoadTime,dnsLookupTime,fcp,fp
0,nexus5x,http-192-168-100-103-9191-local_websites-www-idntimes-com,chrome,54.05184000000001,188,0,337.2,15.6,96.5,112.1,5947,0,1321.1,1321.1
1,nexus5x,http-192-168-100-103-9191-local_websites-www-github-com,chrome,39.382992,339,0,127.4,2.7,57.5,60.2,1117,0,1524.6,1524.6
2,nexus5x,http-192-168-100-103-9191-local_websites-www-w3schools-com,chrome,44.052912,341,0,96.1,8.3,37.2,45.5,1782,0,1020.4,1020.4
3,nexus5x,http-192-168-100-103-9191-local_websites-www-wp-me,chrome,50.279472,334,0,95.8,38.2,36.3,74.5,1086,0,1434.5,1434.5
4,nexus5x,http-192-168-100-103-9191-local_websites-www-oliveogrill-com,chrome,64.756224,342,0,39.5,3.5,4.5,8.0,2698,0,1310.2,1310.2
5,nexus5x,http-192-168-100-103-9191-local_websites-www-bankofamerica-com,chrome,32.378112,346,0,128.0,10.9,80.9,91.8,1464,0,1568.4,1568.4
6,nexus5x,http-192-168-100-103-9191-local_websites-www-aliyun-com,chrome,43.897248,339,0,155.0,4.2,127.9,132.1,4718,0,1414.9,1414.9
7,nexus5x,http-192-168-100-103-9191-local_websites-www-foursquare-com,chrome,36.58104,342,0,88.9,7.2,58.8,66.0,2930,0,1453.3,1453.3
8,nexus5x,http-192-168-100-103-9191-local_websites-www-theverge-com,chrome,35.180064,341,0,107.8,44.5,33.3,77.8,715,0,1393.0,1029.4
9,nexus5x,http-192-168-100-103-9191-local_websites-www-elsevier-com,chrome,37.515024,340,0,60.5,8.6,23.6,32.2,1659,0,1972.8,1972.8
10,nexus5x,http-192-168-100-103-9191-local_websites-www-scoverage-org,chrome,31.444128000000003,340,0,135.6,71.1,30.5,101.6,664,0,1234.2,1234.2
11,nexus5x,http-192-168-100-103-9191-local_websites-www-techcrunch-com,chrome,43.58592,342,0,98.4,3.6,20.4,24.0,222,0,1158.5,1158.5
12,nexus5x,http-192-168-100-103-9191-local_websites-www-archive-org,chrome,33.156431999999995,340,0,103.3,4.9,53.9,58.8,9052,0,3667.1,3667.1
13,nexus5x,http-192-168-100-103-9191-local_websites-www-zillow-com,chrome,42.340608,337,0,27.5,4.4,2.8,7.2,2638,0,1379.4,1379.4
14,nexus5x,http-192-168-100-103-9191-local_websites-www-afternic-com,chrome,40.783968,340,0,64.8,3.4,38.1,41.5,1137,0,1428.6,1428.6
15,nexus5x,http-192-168-100-103-9191-local_websites-www-w3-org,chrome,36.11404799999999,334,0,71.0,6.7,10.0,16.7,1088,0,1136.8,1136.8
16,nexus5x,http-192-168-100-103-9191-local_websites-www-patreon-com,chrome,43.430256,339,0,72.4,3.6,44.0,47.6,4904,0,1059.2,1059.2
17,nexus5x,http-192-168-100-103-9191-local_websites-www-meetup-com,chrome,41.09529600000001,339,0,119.7,6.6,69.5,76.1,2642,0,1579.0,1579.0
18,nexus5x,http-192-168-100-103-9191-local_websites-www-gotowebinar-com,chrome,41.717952,343,0,55.8,22.5,14.6,37.1,6597,0,1514.5,1514.5
19,nexus5x,http-192-168-100-103-9191-local_websites-www-dailymail-co-uk,chrome,65.690208,344,0,321.4,40.8,257.0,297.8,4837,0,2072.8,2072.8
20,nexus5x,http-192-168-100-103-9191-local_websites-www-herokuapp-com,chrome,34.557408,342,0,107.2,13.1,62.1,75.2,3433,0,1479.6,1479.6
21,nexus5x,http-192-168-100-103-9191-local_websites-www-g-page,chrome,32.378112,335,0,291.6,22.4,224.2,246.6,1972,0,1137.1,1137.1
22,nexus5x,http-192-168-100-103-9191-local_websites-www-ria-ru,chrome,39.538656,335,0,118.1,34.5,39.1,73.6,8596,0,2089.0,1725.4
23,nexus5x,http-192-168-100-103-9191-local_websites-www-automattic-com,chrome,37.82635200000001,342,0,45.4,12.2,10.1,22.3,861,0,1095.0,1095.0
24,nexus5x,http-192-168-100-103-9191-local_websites-www-reverso-net,chrome,40.13981999999999,187,0,190.3,9.5,15.9,25.4,2904,0,1319.1,1319.1
25,nexus5x,http-192-168-100-103-9191-local_websites-www-hao123-com,chrome,62.888256000000005,339,0,131.6,7.8,81.4,89.2,6842,0,2223.2,2223.2
26,nexus5x,http-192-168-100-103-9191-local_websites-www-bitly-com,chrome,33.156431999999995,337,0,79.5,45.7,16.5,62.2,2179,0,1372.7,1372.7
27,nexus5x,http-192-168-100-103-9191-local_websites-www-fandom-com,chrome,44.052912,339,0,98.8,5.8,61.9,67.7,2425,0,1887.3,1887.3
28,nexus5x,http-192-168-100-103-9191-local_websites-www-aaplimg-com,chrome,36.89236800000001,339,0,46.9,12.5,10.2,22.7,1507,0,2364.4,2364.4
29,nexus5x,http-192-168-100-103-9191-local_websites-www-wordpress-com,chrome,38.12508,188,0,362.3,4.2,73.1,77.3,1068,0,1519.8,1519.8
