device,subject,browser,batterystats_Joule_calculated
nexus5x,http-192-168-100-103-9191-local_websites-www-idntimes-com,chrome,51.70175999999999
nexus5x,http-192-168-100-103-9191-local_websites-www-github-com,chrome,39.483791999999994
nexus5x,http-192-168-100-103-9191-local_websites-www-w3schools-com,chrome,50.36515200000001
nexus5x,http-192-168-100-103-9191-local_websites-www-wp-me,chrome,47.722536000000005
nexus5x,http-192-168-100-103-9191-local_websites-www-oliveogrill-com,chrome,34.664904
nexus5x,http-192-168-100-103-9191-local_websites-www-bankofamerica-com,chrome,45.079919999999994
nexus5x,http-192-168-100-103-9191-local_websites-www-aliyun-com,chrome,41.504616
nexus5x,http-192-168-100-103-9191-local_websites-www-foursquare-com,chrome,38.862
nexus5x,http-192-168-100-103-9191-local_websites-www-theverge-com,chrome,44.147231999999995
nexus5x,http-192-168-100-103-9191-local_websites-www-elsevier-com,chrome,42.77448
nexus5x,http-192-168-100-103-9191-local_websites-www-scoverage-org,chrome,32.488631999999996
nexus5x,http-192-168-100-103-9191-local_websites-www-techcrunch-com,chrome,37.773864
nexus5x,http-192-168-100-103-9191-local_websites-www-archive-org,chrome,33.265872
nexus5x,http-192-168-100-103-9191-local_websites-www-zillow-com,chrome,33.887664
nexus5x,http-192-168-100-103-9191-local_websites-www-afternic-com,chrome,34.19856
nexus5x,http-192-168-100-103-9191-local_websites-www-w3-org,chrome,36.685728
nexus5x,http-192-168-100-103-9191-local_websites-www-patreon-com,chrome,36.841176000000004
nexus5x,http-192-168-100-103-9191-local_websites-www-meetup-com,chrome,35.286696000000006
nexus5x,http-192-168-100-103-9191-local_websites-www-gotowebinar-com,chrome,55.96128
nexus5x,http-192-168-100-103-9191-local_websites-www-dailymail-co-uk,chrome,56.893968
nexus5x,http-192-168-100-103-9191-local_websites-www-herokuapp-com,chrome,52.385976
nexus5x,http-192-168-100-103-9191-local_websites-www-g-page,chrome,41.038272
nexus5x,http-192-168-100-103-9191-local_websites-www-ria-ru,chrome,51.76332
nexus5x,http-192-168-100-103-9191-local_websites-www-automattic-com,chrome,36.219384000000005
nexus5x,http-192-168-100-103-9191-local_websites-www-reverso-net,chrome,48.810672000000004
nexus5x,http-192-168-100-103-9191-local_websites-www-hao123-com,chrome,56.5677
nexus5x,http-192-168-100-103-9191-local_websites-www-bitly-com,chrome,50.05425600000001
nexus5x,http-192-168-100-103-9191-local_websites-www-fandom-com,chrome,34.664904
nexus5x,http-192-168-100-103-9191-local_websites-www-aaplimg-com,chrome,30.68604
nexus5x,http-192-168-100-103-9191-local_websites-www-wordpress-com,chrome,57.98210399999999
