Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,25.673000000000002,25.673000000000002,screen dark,10.79692006785
0,9.602,9.602,wifi running,0.023148501600000003
9.602,15.518,5.916,wifi scan,0.6558710041809928
15.518,25.673000000000002,10.155000000000001,wifi running,0.024481674000000005
0,25.673000000000002,25.673000000000002,phone_scanning,0.5050421479956271
0.0,8.44108899999992,8.44108899999992,core 0 cpu_idle start,0.002725416610874974
0.0,8.439141000002564,8.439141000002564,core 1 cpu_idle start,0.0027247876503758276
0.0,8.437198999999964,8.437198999999964,core 2 cpu_idle start,0.002724160627124988
0.0,8.440841999996337,8.440841999996337,core 3 cpu_idle start,0.002725336860748817
0.0,8.677575000001525,8.677575000001525,core 4 cpu_idle start,0.002801772028125492
0.0,8.43963999999687,8.43963999999687,core 5 cpu_idle start,0.0027249487649989895
